PassengerId,Survived,Probability
892,0,0.10544591225791224
893,0,0.3786850895457843
894,0,0.08783716113796608
895,0,0.10463535207534616
896,1,0.5808879182811265
897,0,0.158207469675005
898,1,0.6839607874388277
899,0,0.15454405372021046
900,1,0.7852313230789477
901,0,0.07054716522099573
902,0,0.10095127855164371
903,0,0.2352835247806372
904,1,0.949442113429304
905,0,0.04991039127731305
906,1,0.6764923527565313
907,1,0.8322984220956658
908,0,0.20644099544065467
909,0,0.17361965163480744
910,1,0.5587538424488867
911,1,0.5781286328817916
912,0,0.20837691795932842
913,0,0.1637901094446744
914,1,0.9046300352953418
915,1,0.5398125838835401
916,1,0.9576101860706093
917,0,0.035011074492529576
918,1,0.9706383661374686
919,0,0.16593642838313907
920,0,0.41309547986260964
921,0,0.07805368272278522
922,0,0.07771193519667327
923,0,0.13420746078973078
924,0,0.4634843567024726
925,1,0.5122270676624551
926,0,0.34873708025506206
927,0,0.1870479426424214
928,1,0.6368174905260012
929,1,0.6939962250629211
930,0,0.11203484409648702
931,0,0.1236647109437064
932,0,0.09135538383639505
933,1,0.5256578031990748
934,0,0.06541243781726792
935,1,0.7859515921823407
936,1,0.8801091648491279
937,0,0.1113001984529229
938,0,0.4687733968791707
939,0,0.1298528470941327
940,1,0.9085781468385554
941,1,0.5209599890468636
942,1,0.5110377171794067
943,0,0.2782797814143798
944,1,0.7061546612796876
945,1,0.8257447766848331
946,0,0.27154695008435975
947,0,0.06271502275676952
948,0,0.08009104717086218
949,0,0.11076984797503955
950,0,0.07520530000531352
951,1,0.982768852763357
952,0,0.14345200083037063
953,0,0.17987469815120077
954,0,0.13896178426992917
955,1,0.7433093503323399
956,1,0.801028031609681
957,1,0.8039234909136204
958,1,0.7701827977516787
959,0,0.24269820627940505
960,1,0.5934599721874412
961,1,0.709169324691866
962,1,0.7292200874993792
963,0,0.12649757000712575
964,1,0.6282333628902033
965,1,0.6142727054421304
966,1,0.9789746728283428
967,1,0.7656819443330015
968,0,0.10101710514942473
969,1,0.8891748803494159
970,0,0.19048547829418208
971,1,0.7292200874993792
972,0,0.1899313521007439
973,0,0.3190925783139036
974,0,0.21623434288279214
975,0,0.10095127855164371
976,0,0.24977336513602075
977,0,0.10509668179245643
978,1,0.7072868696940594
979,1,0.716064363655373
980,1,0.6995784499013037
981,0,0.2983134353982846
982,1,0.6096696667120628
983,0,0.10089973671720297
984,1,0.7165680630843492
985,0,0.10101710514942473
986,0,0.48994491075707725
987,0,0.1112401215818018
988,0,0.38396881886236045
989,0,0.09771226282262709
990,1,0.7008634302913037
991,0,0.08566939460218696
992,1,0.9209252037325969
993,0,0.1627475284718056
994,0,0.1298528470941327
995,0,0.10768794474941813
996,1,0.7113622546906717
997,0,0.10736815968427309
998,0,0.1614449306572131
999,0,0.1298528470941327
1000,0,0.10130035411054236
1001,0,0.40029195349336505
1002,0,0.188196058904554
1003,1,0.6996073058118106
1004,1,0.9506819505100049
1005,1,0.7664493081747045
1006,1,0.8942572877596318
1007,0,0.14450203577878
1008,0,0.1396376855837558
1009,0,0.49499518192682385
1010,1,0.6025676042339847
1011,1,0.7382586078561242
1012,1,0.8773772696862496
1013,0,0.09419229257660455
1014,1,0.9402847031617078
1015,0,0.10067600585390495
1016,0,0.1298528470941327
1017,1,0.7083320584379987
1018,0,0.12248531830597036
1019,1,0.5487739487462445
1020,0,0.13204551675262668
1021,0,0.11500603697868175
1022,0,0.08855946606208615
1023,0,0.3961656057237299
1024,1,0.5487903949689499
1025,0,0.10160375822585607
1026,0,0.061118967959654116
1027,0,0.11491236363583543
1028,0,0.1467799678759795
1029,0,0.213915905570988
1030,1,0.6777170630941908
1031,0,0.030113919170380497
1032,0,0.3471639976599277
1033,1,0.9328722620196351
1034,0,0.47439806309975946
1035,0,0.21197827800109884
1036,0,0.26293877693300416
1037,0,0.03449270347206977
1038,0,0.2659053414373924
1039,0,0.12261384882528456
1040,0,0.3724017633014732
1041,0,0.1348335033675161
1042,1,0.9774267965305212
1043,0,0.14046353337564915
1044,0,0.03432158365283745
1045,1,0.5165970610136225
1046,0,0.0391722051497749
1047,0,0.11476696198435306
1048,1,0.9766133477085194
1049,1,0.6775159382217043
1050,0,0.3998473070178572
1051,1,0.6076254810327542
1052,1,0.6995619459813123
1053,0,0.18440239863844327
1054,1,0.8097554638943909
